Datetime,sentiment
2022-05-30 02:00:00+00:00,Positive
2022-05-30 01:51:02+00:00,Neutral
2022-05-30 01:47:25+00:00,Neutral
2022-05-30 01:40:03+00:00,Positive
2022-05-30 01:40:00+00:00,Positive
2022-05-30 01:37:31+00:00,Neutral
2022-05-30 01:36:45+00:00,Neutral
2022-05-30 01:32:11+00:00,Neutral
2022-05-30 01:30:11+00:00,Neutral
2022-05-30 01:30:02+00:00,Neutral
2022-05-30 01:20:02+00:00,Positive
2022-05-30 01:20:00+00:00,Positive
2022-05-30 01:15:02+00:00,Neutral
2022-05-30 01:11:21+00:00,Neutral
2022-05-30 01:10:42+00:00,Neutral
2022-05-30 01:09:02+00:00,Neutral
2022-05-30 01:05:45+00:00,Neutral
2022-05-30 01:03:07+00:00,Neutral
2022-05-30 01:00:00+00:00,Positive
2022-05-30 00:45:20+00:00,Neutral
2022-05-30 00:40:00+00:00,Positive
2022-05-30 00:38:28+00:00,Neutral
2022-05-30 00:31:04+00:00,Neutral
2022-05-30 00:20:40+00:00,Neutral
2022-05-30 00:20:02+00:00,Positive
2022-05-30 00:20:00+00:00,Positive
2022-05-30 00:10:02+00:00,Neutral
2022-05-30 00:06:02+00:00,Neutral
2022-05-30 00:00:01+00:00,Positive
2022-05-30 00:00:00+00:00,Positive
2022-05-29 23:57:44+00:00,Neutral
2022-05-29 23:55:12+00:00,Neutral
2022-05-29 23:45:02+00:00,Neutral
2022-05-29 23:44:42+00:00,Neutral
2022-05-29 23:40:02+00:00,Positive
2022-05-29 23:40:00+00:00,Positive
2022-05-29 23:28:12+00:00,Neutral
2022-05-29 23:28:03+00:00,Neutral
2022-05-29 23:24:02+00:00,Neutral
2022-05-29 23:20:02+00:00,Positive
2022-05-29 23:20:00+00:00,Positive
2022-05-29 23:19:03+00:00,Neutral
2022-05-29 23:18:44+00:00,Positive
2022-05-29 23:12:48+00:00,Neutral
2022-05-29 23:12:01+00:00,Positive
2022-05-29 23:03:29+00:00,Neutral
2022-05-29 23:02:06+00:00,Neutral
2022-05-29 23:00:04+00:00,Neutral
2022-05-29 23:00:00+00:00,Positive
2022-05-29 22:42:02+00:00,Neutral
2022-05-29 22:40:02+00:00,Positive
2022-05-29 22:40:00+00:00,Positive
2022-05-29 22:27:55+00:00,Neutral
2022-05-29 22:27:29+00:00,Positive
2022-05-29 22:25:07+00:00,Neutral
2022-05-29 22:25:02+00:00,Neutral
2022-05-29 22:20:02+00:00,Positive
2022-05-29 22:20:00+00:00,Positive
2022-05-29 22:15:01+00:00,Neutral
2022-05-29 22:11:41+00:00,Neutral
2022-05-29 22:11:02+00:00,Positive
2022-05-29 22:10:12+00:00,Neutral
2022-05-29 22:10:01+00:00,Neutral
2022-05-29 22:06:50+00:00,Positive
2022-05-29 22:06:42+00:00,Neutral
2022-05-29 22:05:27+00:00,Neutral
2022-05-29 22:05:07+00:00,Positive
2022-05-29 22:00:04+00:00,Neutral
2022-05-29 22:00:02+00:00,Neutral
2022-05-29 22:00:00+00:00,Neutral
2022-05-29 22:00:00+00:00,Positive
2022-05-29 21:58:41+00:00,Neutral
2022-05-29 21:54:13+00:00,Neutral
2022-05-29 21:54:12+00:00,Positive
2022-05-29 21:50:16+00:00,Neutral
2022-05-29 21:45:03+00:00,Neutral
2022-05-29 21:40:00+00:00,Positive
2022-05-29 21:39:02+00:00,Neutral
2022-05-29 21:23:16+00:00,Neutral
2022-05-29 21:21:32+00:00,Neutral
2022-05-29 21:20:19+00:00,Neutral
2022-05-29 21:20:02+00:00,Positive
2022-05-29 21:20:00+00:00,Positive
2022-05-29 21:11:13+00:00,Neutral
2022-05-29 21:00:49+00:00,Neutral
2022-05-29 21:00:04+00:00,Neutral
2022-05-29 21:00:02+00:00,Positive
2022-05-29 21:00:00+00:00,Positive
2022-05-29 20:54:24+00:00,Neutral
2022-05-29 20:53:24+00:00,Positive
2022-05-29 20:47:56+00:00,Neutral
2022-05-29 20:41:40+00:00,Positive
2022-05-29 20:40:02+00:00,Positive
2022-05-29 20:40:00+00:00,Positive
2022-05-29 20:36:02+00:00,Neutral
2022-05-29 20:27:19+00:00,Neutral
2022-05-29 20:20:02+00:00,Positive
2022-05-29 20:20:00+00:00,Positive
2022-05-29 20:11:36+00:00,Neutral
2022-05-29 20:02:37+00:00,Neutral
2022-05-29 20:00:00+00:00,Positive
2022-05-29 19:54:42+00:00,Neutral
2022-05-29 19:40:00+00:00,Positive
2022-05-29 19:38:21+00:00,Neutral
2022-05-29 19:38:08+00:00,Positive
2022-05-29 19:33:02+00:00,Neutral
2022-05-29 19:31:54+00:00,Neutral
2022-05-29 19:20:00+00:00,Positive
2022-05-29 19:15:03+00:00,Neutral
2022-05-29 19:11:58+00:00,Neutral
2022-05-29 19:00:04+00:00,Neutral
2022-05-29 19:00:02+00:00,Positive
2022-05-29 19:00:00+00:00,Positive
2022-05-29 18:59:11+00:00,Neutral
2022-05-29 18:40:02+00:00,Positive
2022-05-29 18:40:00+00:00,Positive
2022-05-29 18:38:24+00:00,Neutral
2022-05-29 18:34:42+00:00,Neutral
2022-05-29 18:29:46+00:00,Positive
2022-05-29 18:23:04+00:00,Neutral
2022-05-29 18:21:57+00:00,Positive
2022-05-29 18:20:02+00:00,Positive
2022-05-29 18:20:00+00:00,Positive
2022-05-29 18:15:35+00:00,Neutral
2022-05-29 18:13:01+00:00,Positive
2022-05-29 18:12:24+00:00,Neutral
2022-05-29 18:00:02+00:00,Neutral
2022-05-29 18:00:00+00:00,Positive
2022-05-29 17:57:39+00:00,Neutral
2022-05-29 17:40:59+00:00,Neutral
2022-05-29 17:40:00+00:00,Positive
2022-05-29 17:34:51+00:00,Neutral
2022-05-29 17:27:40+00:00,Neutral
2022-05-29 17:25:08+00:00,Neutral
2022-05-29 17:24:36+00:00,Neutral
2022-05-29 17:21:21+00:00,Positive
2022-05-29 17:20:02+00:00,Positive
2022-05-29 17:20:00+00:00,Positive
2022-05-29 17:06:58+00:00,Neutral
2022-05-29 17:06:02+00:00,Neutral
2022-05-29 17:03:02+00:00,Neutral
2022-05-29 17:01:21+00:00,Positive
2022-05-29 17:01:08+00:00,Neutral
2022-05-29 17:01:07+00:00,Neutral
2022-05-29 17:00:55+00:00,Positive
2022-05-29 17:00:03+00:00,Neutral
2022-05-29 17:00:00+00:00,Positive
2022-05-29 16:54:51+00:00,Neutral
2022-05-29 16:49:16+00:00,Neutral
2022-05-29 16:43:48+00:00,Neutral
2022-05-29 16:40:02+00:00,Positive
2022-05-29 16:40:00+00:00,Positive
2022-05-29 16:32:02+00:00,Neutral
2022-05-29 16:30:23+00:00,Neutral
2022-05-29 16:27:03+00:00,Neutral
2022-05-29 16:24:02+00:00,Neutral
2022-05-29 16:20:02+00:00,Positive
2022-05-29 16:20:00+00:00,Positive
2022-05-29 16:10:43+00:00,Neutral
2022-05-29 16:07:13+00:00,Neutral
2022-05-29 16:06:52+00:00,Neutral
2022-05-29 16:06:30+00:00,Neutral
2022-05-29 16:03:19+00:00,Neutral
2022-05-29 16:03:03+00:00,Neutral
2022-05-29 16:00:02+00:00,Positive
2022-05-29 16:00:00+00:00,Positive
2022-05-29 15:53:32+00:00,Neutral
2022-05-29 15:47:33+00:00,Neutral
2022-05-29 15:41:38+00:00,Neutral
2022-05-29 15:40:02+00:00,Positive
2022-05-29 15:40:00+00:00,Positive
2022-05-29 15:27:23+00:00,Neutral
2022-05-29 15:27:07+00:00,Positive
2022-05-29 15:21:02+00:00,Neutral
2022-05-29 15:20:02+00:00,Positive
2022-05-29 15:20:00+00:00,Positive
2022-05-29 15:11:58+00:00,Neutral
2022-05-29 15:01:32+00:00,Positive
2022-05-29 15:00:02+00:00,Positive
2022-05-29 15:00:02+00:00,Neutral
2022-05-29 15:00:00+00:00,Positive
2022-05-29 14:59:58+00:00,Neutral
2022-05-29 14:56:31+00:00,Neutral
2022-05-29 14:47:00+00:00,Neutral
2022-05-29 14:40:02+00:00,Positive
2022-05-29 14:40:00+00:00,Positive
2022-05-29 14:37:46+00:00,Neutral
2022-05-29 14:32:50+00:00,Positive
2022-05-29 14:30:05+00:00,Neutral
2022-05-29 14:29:47+00:00,Neutral
2022-05-29 14:29:43+00:00,Neutral
2022-05-29 14:25:50+00:00,Neutral
2022-05-29 14:22:11+00:00,Neutral
2022-05-29 14:20:30+00:00,Positive
2022-05-29 14:20:25+00:00,Positive
2022-05-29 14:20:02+00:00,Positive
2022-05-29 14:20:00+00:00,Positive
2022-05-29 14:19:57+00:00,Neutral
2022-05-29 14:17:03+00:00,Neutral
2022-05-29 14:09:57+00:00,Neutral
2022-05-29 14:09:49+00:00,Positive
2022-05-29 14:05:02+00:00,Neutral
2022-05-29 14:01:37+00:00,Positive
2022-05-29 14:00:00+00:00,Positive
2022-05-29 13:57:01+00:00,Neutral
2022-05-29 13:56:15+00:00,Positive
2022-05-29 13:56:10+00:00,Positive
2022-05-29 13:53:43+00:00,Neutral
2022-05-29 13:48:03+00:00,Neutral
2022-05-29 13:45:55+00:00,Neutral
2022-05-29 13:40:00+00:00,Positive
2022-05-29 13:38:41+00:00,Neutral
2022-05-29 13:36:01+00:00,Neutral
2022-05-29 13:33:40+00:00,Positive
2022-05-29 13:29:45+00:00,Neutral
2022-05-29 13:20:00+00:00,Positive
2022-05-29 13:15:02+00:00,Neutral
2022-05-29 13:00:02+00:00,Positive
2022-05-29 13:00:00+00:00,Positive
2022-05-29 12:41:17+00:00,Neutral
2022-05-29 12:40:02+00:00,Positive
2022-05-29 12:40:00+00:00,Positive
2022-05-29 12:33:02+00:00,Neutral
2022-05-29 12:30:39+00:00,Neutral
2022-05-29 12:30:11+00:00,Neutral
2022-05-29 12:28:10+00:00,Neutral
2022-05-29 12:23:21+00:00,Neutral
2022-05-29 12:20:02+00:00,Positive
2022-05-29 12:20:00+00:00,Positive
2022-05-29 12:19:28+00:00,Neutral
2022-05-29 12:13:32+00:00,Neutral
2022-05-29 12:12:03+00:00,Neutral
2022-05-29 12:08:51+00:00,Neutral
2022-05-29 12:06:44+00:00,Neutral
2022-05-29 12:05:08+00:00,Neutral
2022-05-29 12:05:06+00:00,Neutral
2022-05-29 12:00:04+00:00,Neutral
2022-05-29 12:00:02+00:00,Positive
2022-05-29 12:00:00+00:00,Positive
2022-05-29 11:57:11+00:00,Neutral
2022-05-29 11:51:02+00:00,Neutral
2022-05-29 11:42:32+00:00,Positive
2022-05-29 11:40:02+00:00,Positive
2022-05-29 11:40:00+00:00,Positive
2022-05-29 11:35:26+00:00,Neutral
2022-05-29 11:33:14+00:00,Neutral
2022-05-29 11:32:43+00:00,Neutral
2022-05-29 11:30:20+00:00,Neutral
2022-05-29 11:30:02+00:00,Neutral
2022-05-29 11:26:22+00:00,Neutral
2022-05-29 11:23:57+00:00,Neutral
2022-05-29 11:22:31+00:00,Neutral
2022-05-29 11:20:32+00:00,Neutral
